Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-07-31,3196.54,3224.68,3164.57,3191.25,13683104
2006-08-01,3209.76,3212.72,3124.35,3126.34,18214240
2006-08-02,3128.1,3140.45,3062,3097.77,13468368
2006-08-03,3099.03,3099.03,2987.5,2995.47,20882004
2006-08-04,3010.47,3047.79,2974.26,3036.78,21597932
2006-08-07,3008.88,3023.79,2951.47,3005.78,14343229
2006-08-08,3012.77,3026.34,2981.62,2998.53,14561839
2006-08-09,3019.82,3076.66,2992.5,3070.78,24438570
2006-08-10,3049.72,3050.56,2978.84,3004.83,11075476
2006-08-11,3033.62,3053.38,2917.38,2917.38,18074788
2006-08-14,2936.96,2945.41,2908.79,2937.03,10529782
2006-08-16,2976.87,2996.98,2951.63,2979.21,16682300
2006-08-17,2986.7,2993.63,2937.07,2947.12,21379526
2006-08-18,2933.98,2968.15,2925.17,2962.37,15557793
2006-08-21,2961.09,2991.84,2946.51,2965.56,9570094
2006-08-22,2995.41,3000.52,2968.14,2989.22,9598101
2006-08-23,2990.15,2999.67,2973.13,2988.14,9770858
2006-08-24,2966.74,2978.3,2926.36,2934.91,10419687
2006-08-25,2946.59,2957.99,2882.25,2905.33,14443323
2006-08-28,2888.41,2906.13,2862.83,2891.17,6971142
2006-08-29,2910.54,2977.89,2910.54,2963.76,11001003
2006-08-30,2972.82,3018.72,2970.51,3001.61,15669412
2006-08-31,3021.97,3031.32,2956.38,2961.4,16319824
2006-09-01,2964.32,2982.64,2952.74,2970.9,10379873
2006-09-04,2999.45,3095.77,2987.47,3087.07,28662204
2006-09-05,3086.05,3113.96,3062.35,3103.45,15652972
2006-09-06,3096.98,3099.47,3043.43,3066.87,10196099
2006-09-07,3044.22,3044.22,3005.12,3024.19,11125184
2006-09-08,3032.55,3041.15,2980.04,2996.65,9440395
2006-09-11,2963.27,2988.97,2929.04,2967.2,9748290
2006-09-12,2965.03,3014.62,2938.27,3014.62,17856316
2006-09-13,3025.14,3057.25,3023.84,3044.06,36376700
2006-09-14,3052.55,3061.14,2999.42,3009.67,19763022
2006-09-15,2991.31,3003.11,2973.38,3003.11,46002648
2006-09-18,3022.91,3052.56,2996.18,3035.94,37698832
2006-09-19,3030.1,3031.75,2994.19,3009.51,14891275
2006-09-20,2990.04,2994.87,2946.18,2962.07,27363894
2006-09-21,2954.43,2978.05,2935.87,2942.47,13003029
2006-09-22,2910.06,2936.49,2884.25,2914.2,19707692
2006-09-25,2936.11,2943.32,2913.73,2939.04,17502072
2006-09-26,2957.84,2964.96,2934.49,2946.06,25750984
2006-09-27,2963.22,2963.73,2905.37,2923.72,19898626
2006-09-28,2925.86,2969.32,2925.46,2949.13,11820921
2006-09-29,2960.47,2964.04,2915.72,2918.83,16438811
2006-10-02,2940.01,2940.45,2896.08,2931.5,16285295
2006-10-03,2913.7,2940.57,2904.56,2916.21,11818209
2006-10-04,2903.41,2945.05,2891.32,2937.03,11169642
2006-10-05,2980.41,2998.26,2979.79,2995.62,19184400
2006-10-06,2992.16,3007.89,2980.2,2990.8,13248245
2006-10-09,2986.33,3029.53,2985.57,3029.53,9530235
2006-10-10,3050.03,3121.95,3048.63,3090.86,23171570
2006-10-11,3107.2,3118.54,3086.49,3103.11,19176010
