Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-08,10.5013,10.5976,10.3376,10.3993,2813646.7870991
2005-06-09,10.4349,10.5976,10.3029,10.5639,4507594.8928995
2005-06-10,10.5639,10.6958,10.5331,10.5976,2984688.6715234
2005-06-13,10.5331,10.665,10.5331,10.6304,770263.77712238
2005-06-14,10.6304,10.6304,10.3993,10.4657,1880849.0859622
2005-06-15,10.4657,10.7276,10.3993,10.6958,2541029.6375121
2005-06-16,10.7921,11.0223,10.6958,11.0223,5217084.853957
2005-06-17,11.0907,11.3815,10.9578,11.2842,4167352.2828214
2005-06-20,11.3507,11.5789,11.3507,11.4479,2736920.4154607
2005-06-21,11.4479,11.4836,11.1196,11.1196,2147344.616287
2005-06-22,11.186,11.3507,11.1562,11.2187,3782814.9026619
2005-06-23,11.3198,11.3198,11.0223,11.1196,4258004.1700335
2005-06-24,11.0223,11.1562,10.9578,11.1196,1081079.0001516
2005-06-27,11.0907,11.1562,11.0223,11.0531,1541451.7681792
2005-06-28,11.0907,11.186,11.0907,11.1196,1245678.3865432
2005-06-29,11.1562,11.1562,10.9251,10.9578,794692.1013844
2005-06-30,10.9924,11.2842,10.9251,11.1196,2008846.485223
2005-07-01,11.1196,11.3198,11.0531,11.186,1748691.6855539
2005-07-04,11.2842,11.3198,11.0223,11.0907,1417364.1053937
2005-07-05,11.1562,11.2187,11.0907,11.1562,4008646.058315
2005-07-06,11.186,11.4643,11.1562,11.3988,2071461.4600584
2005-07-07,11.3285,11.3988,11.0136,11.1196,3518074.3403698
2005-07-08,11.2216,11.3285,11.2216,11.2928,1400658.6789185
2005-07-11,11.3988,11.4306,11.186,11.2216,1421340.3021969
2005-07-12,11.2928,11.8149,11.2216,11.7783,5424102.5446104
2005-07-13,11.7783,11.9149,11.6059,11.8505,4546297.6494565
2005-07-14,11.8851,12.0219,11.8505,11.9149,2710190.9023462
2005-07-15,11.8851,11.9871,11.7783,11.8851,2127758.5499758
2005-07-18,11.8505,11.9871,11.8149,11.9149,624138.2849929
2005-07-19,11.8851,12.0922,11.8505,12.0565,3789224.1705306
2005-07-20,12.1595,12.6497,12.1595,12.5428,7322279.084179
2005-07-21,12.6497,12.7884,12.616,12.7528,5343701.1245293
2005-07-22,12.7162,12.8221,12.5428,12.8221,1678027.7419481
2005-07-25,13.032,13.2035,12.9579,13.032,4071740.7936422
2005-07-26,13.0657,13.1678,12.7528,12.926,1659684.6914565
2005-07-27,12.9579,13.032,12.8577,12.9954,2563991.6807905
2005-07-28,12.9579,13.0657,12.6815,12.8943,2730713.6439033
2005-07-29,12.8943,13.2391,12.8943,12.9954,3291072.8598806
2005-08-01,12.9579,13.3796,12.9579,13.2391,2773091.4489029
2005-08-02,13.4105,13.76,13.4105,13.7244,4045874.2263474
2005-08-03,13.6897,13.7244,13.4105,13.4105,1301012.8401491
2005-08-04,13.3084,13.6541,13.1013,13.6541,1516986.0599827
2005-08-05,13.2035,13.5174,13.2035,13.3459,1502398.0180157
2005-08-08,13.3459,13.552,13.2035,13.4817,2846843.7208692
2005-08-09,13.4817,13.4817,13.137,13.3084,2590741.9627574
2005-08-10,13.2035,13.2035,12.8577,13.0657,2337329.771039
2005-08-11,13.0657,13.2728,13.0657,13.2035,939404.27310406
2005-08-12,13.137,13.3796,13.032,13.2728,1029033.2943325
2005-08-16,13.4105,13.6233,13.4105,13.5876,1505008.6627698
2005-08-17,13.552,13.6233,13.0657,13.2391,822365.5588431
2005-08-18,13.137,13.137,12.7528,12.9579,1656131.1408008
2005-08-19,12.9954,12.9954,12.7884,12.9579,888311.85761284
2005-08-22,12.9579,13.0657,12.8577,12.9579,871308.39810484
2005-08-23,12.9954,13.2035,12.926,13.2035,832380.29949872
2005-08-24,13.1678,13.2391,13.1013,13.137,1488986.5315404
2005-08-25,13.137,13.3084,13.032,13.137,2557896.0225938
2005-08-26,13.1678,13.3796,13.1678,13.3459,1315282.0802309
2005-08-29,13.3459,13.5876,13.3459,13.5174,1995724.7242396
2005-08-30,13.5876,13.968,13.552,13.968,4081117.9305273
2005-08-31,14.2819,14.384,13.8303,13.8659,5786645.7100161
2005-09-01,13.8968,14.0739,13.8303,13.9334,1850664.6742412
2005-09-02,13.968,14.176,13.7966,13.7966,9171163.8677645
2005-09-05,13.8659,14.0036,13.76,13.8968,2380895.5543991
2005-09-06,13.9334,14.0383,13.8968,14.0036,1972652.6060431
2005-09-07,14.0036,14.176,13.8659,13.968,1927283.0478469
2005-09-08,13.8968,14.1105,13.8659,14.0383,1266185.551461
2005-09-09,14.1105,14.2107,14.0036,14.176,1197387.6892487
2005-09-12,14.2463,14.384,14.2107,14.384,1428844.0885903
2005-09-13,14.4197,14.5256,14.2819,14.3167,1486922.107606
2005-09-14,14.2819,14.2819,13.968,14.176,1214335.072855
2005-09-15,14.1105,14.5256,14.1105,14.4197,2627354.3343144
2005-09-16,14.4533,14.5256,14.384,14.5256,2354364.3838257
2005-09-19,14.4533,14.5959,14.3167,14.5603,3486989.5988947
2005-09-20,14.9406,15.1842,14.489,14.8703,5290527.6700218
2005-09-21,14.7326,14.904,14.6979,14.7673,1580949.9717853
2005-09-22,14.904,15.113,14.489,14.7326,4289821.0135577
2005-09-23,14.7673,15.011,14.5603,14.9406,1874383.7421918
2005-09-26,14.7673,15.3239,14.6979,15.2536,2178853.0423522
2005-09-27,15.5329,15.8458,15.4279,15.8458,3007905.1332445
2005-09-28,15.9836,16.0904,15.5675,15.8112,4536216.448473
2005-09-29,15.8112,15.9836,15.5675,15.9836,1108182.3526103
2005-09-30,16.0192,16.5055,15.8112,16.3341,4542972.5561778
2005-10-03,16.1925,16.7857,16.0192,16.6788,3770602.8174161
