Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-10-11,70.8026,71.4194,70.5976,70.8026,310040.9916998
2005-10-12,70.8026,71.0076,69.562,70.5976,128980.77905495
2005-10-13,70.1787,70.1787,67.5077,67.5077,303396.95529601
2005-10-14,67.5077,67.5077,65.2435,65.4551,737156.02483068
2005-10-17,65.8635,66.6828,65.8635,66.2736,117117.40172832
2005-10-18,67.0977,68.1212,65.8635,66.4777,268906.93600054
2005-10-19,65.0394,65.0394,63.3943,64.6301,731458.4817725
2005-10-20,66.0693,66.6828,66.0693,66.4777,682888.75452828
2005-10-21,66.2736,67.3035,65.4551,66.2736,637651.57584387
2005-10-24,66.2736,68.1212,65.2435,66.2736,629726.55237286
2005-10-25,66.6828,67.7111,65.2435,66.2736,319171.43143427
2005-10-26,66.4777,66.6828,62.9785,65.0394,516735.81207676
2005-10-27,64.0158,64.2217,62.9785,64.0158,415691.45310489
2005-10-28,63.1885,64.6301,63.1885,64.2217,356229.61919237
2005-10-31,64.6301,66.8869,64.6301,64.6301,532044.47473603
2005-11-02,66.8869,68.7403,66.8869,68.7403,1064386.2772246
2005-11-03,69.562,70.3854,68.3294,70.3854,481539.639369
2005-11-04,70.3854,71.8367,69.562,71.8367,243779.0243134
2005-11-07,70.8026,71.6252,69.1519,70.3854,652686.44919767
2005-11-08,70.5976,70.5976,69.3569,69.9737,169722.11434772
2005-11-09,69.9737,71.0076,69.3569,71.0076,238926.38761871
2005-11-10,72.0425,72.4533,70.3854,70.8026,641999.99422487
2005-11-14,73.6868,73.6868,70.1787,71.6252,348180.70915779
2005-11-15,71.8367,71.8367,70.5976,70.8026,295339.37320198
2005-11-16,71.2135,72.0425,68.3294,69.3569,425950.4994334
2005-11-17,69.3569,70.3854,69.1519,69.1519,513053.90340772
2005-11-18,69.9737,71.0076,69.9737,70.8026,695708.53612561
2005-11-21,70.8026,71.0076,70.3854,70.8026,336364.40872531
2005-11-22,70.5976,70.8026,69.1519,69.1519,308073.67307045
2005-11-23,69.9737,70.1787,69.3569,69.7678,229611.35690453
2005-11-24,70.3854,70.5976,69.9737,70.1787,289765.71670736
2005-11-25,70.3854,70.5976,69.7678,70.5976,278660.52514972
2005-11-28,70.3854,71.8367,70.3854,71.8367,179888.24575356
2005-11-29,71.4194,72.4533,70.5976,72.4533,269865.81800251
2005-11-30,72.4533,73.2751,72.0425,72.6527,374739.51065406
2005-12-01,72.4533,74.3051,72.4533,73.6868,350707.99505444
2005-12-02,74.7175,76.5652,73.6868,76.5652,231456.02783596
2005-12-05,76.1527,76.1527,74.0993,75.5345,172799.45658659
2005-12-06,75.5345,75.5345,73.2751,74.0993,195774.21979903
2005-12-07,73.6868,74.5117,73.2751,73.2751,193110.65868246
2005-12-08,73.2751,74.0993,72.865,73.6868,171139.37663486
2005-12-09,73.6868,73.8934,71.8367,72.6527,511115.07868799
2005-12-12,73.0709,74.0993,72.0425,72.2483,354526.1789434
2005-12-13,72.0425,73.0709,71.8367,72.0425,181471.51603588
2005-12-14,72.2483,73.6868,71.6252,72.4533,468853.65526032
2005-12-15,72.2483,73.6868,71.4194,71.4194,319787.14765517
2005-12-16,71.4194,72.865,71.0076,72.4533,537375.31356608
2005-12-19,72.4533,73.0709,72.0425,72.0425,158867.17364848
2005-12-20,72.0425,74.3051,72.0425,73.0709,235794.53529188
2005-12-21,73.2751,73.8934,72.865,73.6868,658283.64413937
2005-12-22,73.6868,74.0993,72.4533,73.4809,109126.71837861
2005-12-23,73.2751,74.0993,72.4533,74.0993,63816.446621702
2005-12-27,73.2751,74.7175,73.2751,74.7175,82468.807631492
2005-12-28,74.7175,74.7175,73.0709,73.2751,271606.42422054
2005-12-29,73.6868,74.0993,72.2483,73.0709,196977.15833121
2005-12-30,72.865,72.865,71.6252,71.8367,226365.52893922
